p,d,q,aic,bic,log_likelihood,converged
1,0,0,-1589410.3748076202,-1589381.0068883612,794708.1874038101,True
0,0,1,-1589410.3499815925,-1589380.9820623335,794708.1749907963,True
0,0,0,-1589399.387765263,-1589379.8091524236,794701.6938826315,True
2,0,0,-1589418.3747307248,-1589379.2175050462,794713.1873653624,True
0,0,2,-1589418.3071643931,-1589379.1499387145,794713.1535821966,True
1,0,1,-1589411.4114735923,-1589372.2542479136,794709.7057367961,True
2,0,1,-1589416.4991852539,-1589367.5526531555,794713.2495926269,True
3,0,0,-1589416.4554881272,-1589367.5089560288,794713.2277440636,True
0,0,3,-1589416.410512079,-1589367.4639799807,794713.2052560395,True
1,0,2,-1589416.2999322703,-1589367.353400172,794713.1499661352,True
2,0,2,-1589416.2517927645,-1589357.5159542465,794714.1258963823,True
0,0,4,-1589415.4281895547,-1589356.6923510367,794713.7140947774,True
4,0,0,-1589415.4237497458,-1589356.6879112278,794713.7118748729,True
3,0,1,-1589414.4545905343,-1589355.7187520163,794713.2272952672,True
1,0,3,-1589414.1692258273,-1589355.4333873093,794713.0846129137,True
0,0,5,-1589415.2576999518,-1589346.732555014,794714.6288499759,True
5,0,0,-1589415.193998633,-1589346.6688536953,794714.5969993165,True
4,0,1,-1589413.427989382,-1589344.9028444444,794713.713994691,True
1,0,4,-1589413.3357246504,-1589344.8105797127,794713.6678623252,True
2,0,3,-1589412.1528412309,-1589343.6276962932,794713.0764206154,True
5,0,1,-1589413.194866877,-1589334.8804155197,794714.5974334385,True
3,0,3,-1589412.8010125933,-1589334.486561236,794714.4005062967,True
1,0,5,-1589412.7605075252,-1589334.4460561678,794714.3802537626,True
2,0,4,-1589410.8427435362,-1589332.5282921789,794713.4213717681,True
3,0,2,-1589400.9291046327,-1589332.403959695,794707.4645523163,True
3,0,4,-1589411.676392999,-1589323.572635222,794714.8381964995,True
2,0,5,-1589410.9081513598,-1589322.8043935827,794714.4540756799,True
5,0,2,-1589410.2257031351,-1589322.121945358,794714.1128515676,True
4,0,2,-1589398.9291022436,-1589320.6146508863,794707.4645511218,True
3,0,5,-1589411.8954678038,-1589314.0024036071,794715.9477339019,True
4,0,4,-1589409.4666268341,-1589311.5735626374,794714.7333134171,True
4,0,3,-1589396.9290179769,-1589308.8252601998,794707.4645089884,True
4,0,5,-1589409.537426765,-1589301.8550561487,794715.7687133825,True
5,0,4,-1589408.543883501,-1589300.8615128847,794715.2719417505,True
5,0,3,-1589394.9283923893,-1589297.0353281926,794707.4641961947,True
5,0,5,-1589407.8057090028,-1589290.3340319667,794715.9028545014,True
0,1,5,-1585256.5738640572,-1585197.8380710508,792634.2869320286,True
1,1,5,-1585079.1226603677,-1585010.5975685269,792546.5613301839,True
0,1,4,-1584778.779253195,-1584729.832759023,792394.3896265975,True
4,1,5,-1584348.9074242553,-1584251.0144359113,792184.4537121276,True
5,1,5,-1584340.9192467234,-1584233.236959545,792181.4596233617,True
2,1,5,-1583894.414027691,-1583816.0996370157,791955.2070138454,True
5,1,4,-1583651.3732475573,-1583553.4802592134,791835.6866237787,True
1,1,4,-1583592.5697756675,-1583533.8339826611,791802.2848878338,True
4,1,4,-1583542.2178687328,-1583454.114179223,791780.1089343664,True
3,1,4,-1583431.0584910829,-1583352.7441004077,791723.5292455414,True
3,1,5,-1583392.367832655,-1583304.2641431454,791705.1839163275,True
0,1,3,-1583283.5885264548,-1583244.4313311172,791645.7942632274,True
2,1,4,-1583216.61025777,-1583148.085165929,791615.305128885,True
5,1,3,-1582354.1124277734,-1582266.0087382637,791186.0562138867,True
4,1,3,-1582112.7680567103,-1582034.453666035,791064.3840283551,True
1,1,3,-1581893.322047065,-1581844.375552893,790951.6610235325,True
3,1,3,-1581879.4954630025,-1581810.9703711616,790946.7477315012,True
2,1,3,-1581842.7274675516,-1581783.9916745452,790927.3637337758,True
0,1,2,-1579179.1163384668,-1579149.7484419635,789592.5581692334,True
4,1,2,-1578693.8832508205,-1578625.3581589796,789353.9416254102,True
3,1,2,-1578607.9050211199,-1578549.1692281135,789309.9525105599,True
1,1,2,-1578558.906247457,-1578519.7490521194,789283.4531237285,True
2,1,2,-1578536.9191317619,-1578487.9726375898,789273.4595658809,True
